Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
29500,-0.06841477,20.0,-962.94104,-59.53234,-3425.335205078125,-3425.335205078125,0.0,1.0
30000,-0.007032846,16.551724137931036,-332.66254,-51.225044,-1412.5117471629176,-1412.5117471629176,0.050510755900678966,1.0
30500,0.04464691,16.571428571428573,-505.99615,-50.671593,-1388.1876820155553,-1388.1876820155553,2.2858484217098782,1.0
31000,0.102487445,15.833333333333334,-474.07803,-50.759323,-782.8818466186524,-782.8818466186524,2.226372178395589,1.0
31500,0.21128961,17.037037037037038,-548.3409,-52.723637,-1008.2734228063513,-1008.2734228063513,2.792723125881619,1.0
32000,0.19852577,16.20689655172414,-613.41675,-61.58066,-1450.8472931960534,-1450.8472931960534,4.236317165966692,1.0
32500,0.21624763,16.24137931034483,-313.34012,-55.38282,-347.6198940934806,-347.6198940934806,2.2264475329168913,1.0
33000,0.19784826,15.161290322580646,-248.13821,-56.284992,-130.41741648027974,-130.41741648027974,2.0615737553565734,1.0
33500,0.19907685,15.580645161290322,-388.46378,-61.93929,-572.3114121960056,-572.3114121960056,2.343038535887195,1.0
34000,0.18980317,15.827586206896552,-464.48264,-61.86857,-413.6952609358163,-413.6952609358163,1.8296063891772567,1.0
34500,0.13606618,15.193548387096774,-324.48944,-63.015106,-441.1048190209173,-441.1048190209173,1.8609891360805881,1.0
35000,0.19611432,17.333333333333332,-656.50305,-67.33482,-877.2036008481626,-877.2036008481626,1.9437519400208085,1.0
35500,0.18492144,16.24137931034483,-264.82367,-63.63886,-153.72814836173222,-153.72814836173222,1.8114998751673206,1.0
36000,0.22810628,17.071428571428573,-340.14697,-63.62317,-183.02190453665597,-183.02190453665597,1.7149496631962913,1.0
36500,0.21892458,16.275862068965516,-299.48856,-65.466324,-317.7226204707705,-317.7226204707705,1.691777278637064,1.0
37000,0.24869443,16.310344827586206,-276.52994,-67.41213,-110.8619279532597,-110.8619279532597,1.622392226909769,1.0
37500,0.20219606,14.53125,-317.99475,-72.02711,-241.34950828552246,-241.34950828552246,1.6787603572010994,1.0
38000,0.22763309,13.969696969696969,-144.15622,-72.321526,338.3533380681818,338.3533380681818,1.6594009399414062,1.0
38500,0.24856038,15.387096774193548,-125.5606,-73.85033,268.8024734989289,268.8024734989289,1.5896825944223711,1.0
39000,0.18367805,16.344827586206897,-331.9469,-75.268135,-393.8956482985924,-393.8956482985924,1.4918224071634227,1.0
39500,0.2865924,14.806451612903226,-128.57425,-73.039986,250.51351534935736,250.51351534935736,1.5416695994715537,1.0
40000,0.23406436,16.655172413793103,-449.79095,-81.67579,-559.5753310631061,-559.5753310631061,1.636711650881274,1.0
40500,0.23275141,14.0,62.582977,-77.275,503.74320752692944,503.74320752692944,1.5744358626278965,1.0
41000,0.24280669,15.4,-232.01695,-80.651764,-406.34348551432294,-406.34348551432294,1.6253517508506774,1.0
41500,0.23070897,16.689655172413794,-312.23218,-83.06797,-142.06681508031386,-142.06681508031386,1.4489368816901897,1.0
42000,0.23349752,16.275862068965516,-270.9456,-83.44271,-79.41307436186692,-79.41307436186692,1.4225827126667416,1.0
42500,0.1953606,15.931034482758621,-338.11603,-88.34577,-408.49314512055497,-408.49314512055497,1.4998332015399276,1.0
43000,0.24653032,14.9375,36.196823,-83.25108,362.61248874664307,362.61248874664307,1.4893418475985527,1.0
43500,0.19438015,14.181818181818182,68.25222,-88.168236,348.73909135298294,348.73909135298294,1.4414902239134817,1.0
44000,0.12706585,17.074074074074073,-260.20352,-91.137985,-239.41725441261573,-239.41725441261573,1.4951145781411066,1.0
44500,0.11061437,15.633333333333333,-121.71378,-92.48354,186.56631571451823,186.56631571451823,1.503987232844035,1.0
45000,0.0868495,15.35483870967742,-294.2648,-96.667534,-437.4514416110131,-437.4514416110131,1.6599115248649352,1.0
45500,0.13725911,14.59375,-84.596794,-95.732704,182.17149257659912,182.17149257659912,1.5753946229815483,1.0
46000,0.14032821,14.903225806451612,-167.13791,-96.787,-104.25607792023689,-104.25607792023689,1.6281878640574794,1.0
46500,0.16242345,15.096774193548388,147.80263,-97.28025,206.59539007371473,206.59539007371473,1.8969688184799687,1.0
47000,0.15159947,15.516129032258064,-250.79404,-100.91215,-102.83955432522681,-102.83955432522681,1.6964404506068076,1.0
47500,0.10722484,14.46875,-210.5856,-104.95376,-472.75046253204346,-472.75046253204346,1.8887086808681488,1.0
48000,0.12670572,16.24137931034483,-511.42184,-106.70723,-369.86921744511045,-369.86921744511045,1.6085276480378776,1.0
48500,0.14863531,13.142857142857142,61.153732,-100.58985,-24.456508091517858,-24.456508091517858,1.4168746028627668,1.0
49000,0.17516132,14.96875,-2.756775,-103.29949,448.89615988731384,448.89615988731384,1.579535748809576,1.0
49500,0.21036759,13.909090909090908,217.74983,-101.507866,586.4129583185369,586.4129583185369,1.4490874897349963,1.0
50000,0.17225255,15.933333333333334,-296.06348,-108.45403,-300.2950500488281,-300.2950500488281,1.4954840262730917,1.0
